ClientID,Nom,Prénom,Ville,CodePostal,Pays,DateNaissance,Âge,Sexe,TypeCarteCrédit,DateExpirationCarte,SoldeCompte,TypeClient,NombreAchats,MontantTotalAchats,DernierAchat,ProduitPréféré,CatégorieProduitPréféré,FréquenceAchatMensuel,PanierMoyen,ScoreFidélité,NombreRemboursements,MontantTotalRemboursé,AvisClient,AbonnementNewsletter,TypePaiementFavori,StatutCompte,client_id,age_group,email_hash
d34f9cab-5d14-469f-aa80-c0146f3b93c7,Client_838,Christopher,Lauratown,45532,Antigua and Barbuda,1996-09-15,29,M,Diners Club / Carte Blanche,10/33,375.72,Entreprise,7,1157.99,2024-03-19,network,Sport,6,165.43,85,1,11.68,Neutre,True,Paypal,Inactif,838,18-30,68ba07e52c78b75c3b767442a82edbbb1d9eb71a7484e14a6b8aaae7e5422d65
d9b374f9-8cec-4ae7-9137-c1d930d0aae0,Client_857,Linda,Herreraview,6486,Belize,2000-01-11,25,F,JCB 16 digit,04/28,342.52,Entreprise,3,213.04,2024-05-28,clear,Électronique,6,71.01,15,2,152.13,Satisfait,False,Carte bancaire,Actif,857,18-30,c598ed02507faf5d206b7f7904e2071d5539ee60d21543737e6cadefb25d8af0
72855e63-d98e-42e9-a10f-d9e4fac6e82f,Client_451,Julie,Lake Erictown,85092,Andorra,1961-06-07,64,F,VISA 19 digit,05/26,744.08,Entreprise,13,1357.54,2023-07-12,officer,Alimentation,9,104.43,10,5,342.6,Satisfait,False,Cryptomonnaie,Suspendu,451,60+,ac1078365e22f1554595fd4b49292de0d252efe4a5063caaf2d5e818b3c1a6d6
3fcb2796-9692-4fcf-affb-0100d9a74ae1,Client_245,Charles,New Andrewton,87164,Samoa,1970-11-19,55,F,JCB 15 digit,06/27,2398.64,Particulier,5,806.13,2023-09-28,more,Alimentation,5,161.23,4,0,0.0,Mécontent,False,Virement,Actif,245,51-60,73a8544274eefa48dc0696379967fecbdcb8b99b445aea723ee573eae39dbcb5
50b21cc8-6f68-45c5-9b75-335ef55b41b2,Client_313,David,Rodriguezport,53640,Burkina Faso,1946-02-26,79,M,JCB 16 digit,08/34,160.82,Particulier,9,785.47,2023-10-02,nor,Mode,1,87.27,6,0,0.0,Mécontent,True,Cryptomonnaie,Inactif,313,60+,6faa8b0544115dfa8f6503a320919f4887ee9cfa1dcc4f65aee17d27e5aff526
1149c70b-e75d-4398-a784-ff40152810db,Client_72,Stephen,Tarafurt,16900,San Marino,1941-04-11,84,M,VISA 19 digit,11/25,2512.82,Entreprise,10,3798.2,2024-06-06,it,Électronique,0,379.82,74,2,127.06,Mécontent,False,Virement,Suspendu,72,60+,6f49930e5d2b05badc6f1cc3743051bfc00fa0eaec4ec9e9a088d7fbf8e88eb1
20dea61b-c087-482c-9a71-2def299ed020,Client_142,Alexis,Smithhaven,50362,Angola,1984-11-22,41,F,Mastercard,09/33,4347.1,Particulier,7,128.7,2024-03-23,class,Alimentation,2,18.39,40,1,129.76,Très mécontent,True,Carte bancaire,Inactif,142,41-50,980766608bd5273da4dd411d03beffb3763d4df4f6947490bef8b255ad501062
3faa9f83-0a50-4657-96cc-401944b5708c,Client_244,Stephen,West Michael,2732,Norway,1977-04-26,48,F,JCB 16 digit,03/29,2376.39,Entreprise,18,625.4,2025-01-22,minute,Alimentation,0,34.74,37,2,50.33,Mécontent,True,Virement,Inactif,244,41-50,12f1b81706ce0f7f11dc5b0803972980e05f36cde6a258d0bfb5f9bab83e7543
cd0594c6-c289-4fd6-92ad-495772743f5a,Client_809,Timothy,Bondborough,63792,Hong Kong,1949-01-23,76,F,American Express,09/28,3866.9,Entreprise,2,793.93,2024-04-26,total,Maison,5,396.96,20,3,485.85,Neutre,True,Paypal,Actif,809,60+,db1a25e06d19d503ec4187b195d60f445b96a1cdf27441f2d2fa21600a50db9e
6bed1a9f-2ee0-402e-8907-9fad020e36f7,Client_419,Kevin,Carpentertown,73481,Mali,1940-09-20,85,F,VISA 13 digit,09/33,1497.79,Entreprise,14,962.35,2023-04-01,agent,Mode,2,68.74,15,2,305.03,Satisfait,True,Paypal,Inactif,419,60+,ea87db08f16cda6522b3a499d8be22eb0832b1875878dbfe65cdd32f22d862b6
0c2cab59-6989-4832-aa97-84c398e67a5d,Client_55,Rhonda,North Randyhaven,77860,Heard Island and McDonald Islands,1972-04-13,53,M,Diners Club / Carte Blanche,09/32,4967.86,Entreprise,2,667.91,2023-06-04,activity,Mode,1,333.95,47,1,85.98,Neutre,True,Carte bancaire,Actif,55,51-60,bf53dcdcd61ae475d0de19b9b77ed9919d3a9520c40a2d3e5f8d19aa979e8ba9
79eb32ae-12ca-4009-b8ec-b558d039caf8,Client_480,Jennifer,Pughville,25709,Guatemala,2001-02-22,24,F,JCB 15 digit,12/25,3022.53,Entreprise,11,5489.59,2023-06-02,suddenly,Sport,2,499.05,55,4,262.75,Très mécontent,True,Virement,Actif,480,18-30,002101b02f2cab736aca7272f9571abc0ed7f607b5bc9b4655ed446e95705679
073fdfca-a8df-4e28-ae42-460761586770,Client_29,Tiffany,West Craig,11743,Syrian Arab Republic,1934-12-28,91,M,Maestro,06/28,691.03,Particulier,9,1570.28,2024-11-02,simply,Maison,0,174.48,27,4,152.13,Très satisfait,True,Paypal,Inactif,29,60+,2817ff984f951015dad3d8f45959751fa5a22f0785306cc20f582302df472107
ae2fe7cd-0387-4e2b-abb6-9e6bce679b74,Client_683,Frank,Suzannechester,6798,Saudi Arabia,1942-11-09,83,F,VISA 13 digit,05/29,1737.97,Entreprise,1,385.85,2024-11-24,rule,Mode,3,385.85,4,3,426.82,Très mécontent,True,Paypal,Actif,683,60+,2628b10210d866b72b573f08e9fd268e1c3956f3621a084d77d19e1bbe4386b9
88dcb53d-58ba-4746-b942-91d07190a03c,Client_545,Calvin,Rodneyshire,10897,India,1992-09-26,33,M,Mastercard,06/33,1332.51,Particulier,6,1137.0,2023-05-17,morning,Alimentation,8,189.5,23,3,61.77,Très satisfait,False,Cryptomonnaie,Actif,545,31-40,29da26963ab079ce6eae4752ede40799f06ed323c7f0412599ceef8a00733fa1
ad388d2e-a57a-4a60-b1d1-4fd15d27b74c,Client_678,Caitlin,Whiteton,30256,Philippines,1971-02-02,54,F,VISA 16 digit,06/27,2281.71,Entreprise,17,688.51,2023-02-18,future,Maison,10,40.5,59,1,70.21,Très mécontent,True,Cryptomonnaie,Inactif,678,51-60,baa501817b40d09a93ffe0e42d16d9b9b3a100d1f371fd0dbfc1372b6451d67a
1eedf4f2-9789-46f7-84ea-4329dc9ea314,Client_129,Robin,Nicoleburgh,16583,Tanzania,1958-07-03,67,M,VISA 19 digit,04/25,2611.85,Particulier,0,0.0,2024-12-11,particularly,Électronique,0,0.0,10,1,92.94,Neutre,False,Virement,Actif,129,60+,70ae4a6676fed53dc6ad942bc5e78e4ec4a735cdb7b3616ee69b73768fb7bad5
ef5c5f75-5404-4191-800f-a2bc3dac7412,Client_940,Jeffrey,Lake Courtneyville,52789,Saint Barthelemy,1943-05-12,82,M,VISA 16 digit,02/30,3900.78,Entreprise,4,1361.55,2024-03-06,tell,Sport,8,340.39,93,4,557.23,Satisfait,False,Virement,Suspendu,940,60+,0821a56cc6ae4a985057296fa00f71f5492957a1f677b5142197af4a993bbed5
8ff58ece-b7ce-49fc-871d-be7f8ce6153b,Client_569,Tracey,Michaelhaven,63558,Estonia,1959-10-28,66,M,VISA 16 digit,03/30,4211.0,Entreprise,7,1007.26,2024-04-09,most,Mode,0,143.89,10,0,0.0,Mécontent,True,Paypal,Suspendu,569,60+,dfe40331e6e59b9f3f08a57068ea2c6b9f715beb823b693b903cbfb403900848
4d9c9411-36aa-473d-8fee-308a0442f836,Client_295,Brandon,North Deborah,6684,Korea,1999-12-30,26,F,JCB 16 digit,07/26,3992.53,Particulier,10,189.46,2025-01-18,benefit,Sport,1,18.95,47,4,171.28,Mécontent,True,Carte bancaire,Actif,295,18-30,4ab0876fcc4162639262bc5087e693e277b2372182f11c5fb626ef3597f6beed
3aba6036-972f-4f80-a101-962b2c5cbd18,Client_221,Molly,West Kari,41070,Estonia,1935-11-28,90,F,JCB 16 digit,10/31,2081.04,Particulier,12,4446.76,2024-05-21,model,Mode,7,370.56,58,0,0.0,Très mécontent,False,Paypal,Suspendu,221,60+,0de9c487890c194284bcca730d9cba9645649b48846a99256755186865d7e1b9
704ff9b0-05e2-4736-9018-810b5444a86c,Client_444,Ashley,Walkermouth,48252,South Africa,1971-05-10,54,M,Maestro,01/35,2889.66,Entreprise,6,2646.88,2024-05-04,mind,Sport,9,441.15,5,3,373.93,Neutre,False,Paypal,Actif,444,51-60,8aad3f0aa93d21777b5e85f4997d5864763d8daa469d835a8b3d54eb3e83261a
8eb4f315-9cde-4c7b-9a26-669447dadd4b,Client_562,Johnny,Raymondville,93796,Argentina,1966-08-22,59,M,Maestro,12/28,4154.3,Entreprise,16,888.55,2024-08-08,throw,Mode,6,55.53,54,2,174.84,Très mécontent,False,Virement,Suspendu,562,51-60,10cc6a8694c50bb0583fb26917879565db768a6c5e21a285aeb9e6f94ff5cb48
379871e9-0b5e-4484-9250-103d06c0fb4a,Client_204,Leah,West Emilytown,58636,Guatemala,1943-10-18,82,M,American Express,08/30,3791.91,Entreprise,4,1851.99,2023-07-15,stay,Sport,6,463.0,26,1,31.86,Neutre,True,Carte bancaire,Inactif,204,60+,e8862c938bdf0232939b5ebed87ba85b0ee68c4cc119de6f4d1587611b7e7f03
5717143e-d6a4-4087-9360-9e0e9dfa1cb2,Client_341,Mark,Davidstad,54329,Sierra Leone,1968-06-21,57,M,Mastercard,06/28,3349.76,Entreprise,13,5072.03,2023-10-25,clear,Mode,3,390.16,93,0,0.0,Neutre,True,Paypal,Inactif,341,51-60,1e808aaad9b8a0a4ec240facb7cddbf0394e8a1f76bb092ae6c01a55612f76c1
749a31d6-501c-4f88-91b6-9173bbf2f385,Client_458,Kevin,Smithborough,47109,Oman,1958-07-14,67,F,VISA 13 digit,08/31,4819.3,Entreprise,13,784.89,2024-03-11,coach,Alimentation,8,60.38,47,3,22.21,Mécontent,True,Carte bancaire,Inactif,458,60+,10f124d79dda7b8fec4c7bcdca4dcc520d11ab4a652bf431b68273609773209c
422d18c5-601c-438b-9cb7-d867811c46f0,Client_255,Ashley,Johntown,63470,Uganda,2005-11-18,20,M,Diners Club / Carte Blanche,12/30,3588.26,Entreprise,17,6293.65,2024-09-05,stop,Maison,2,370.21,58,0,0.0,Très mécontent,True,Virement,Inactif,255,18-30,c735d2b3ea95f7d3c82e8f7fcbbbb464a9962d9781c094b855c595640cda57bf
7cc46636-a0d2-4dba-a382-c78cf6fdd85c,Client_494,William,Lake James,35298,French Guiana,1985-09-11,40,M,JCB 15 digit,03/28,2258.24,Entreprise,6,53.29,2024-09-21,society,Alimentation,10,8.88,89,0,0.0,Très mécontent,True,Paypal,Actif,494,31-40,2aad96a9d17b45b47c9032cb672379e6b8c248b85724d0ad1379417686a9cc3c
0d37a8b7-9d93-4380-ab53-0fa29805b746,Client_60,Casey,New Scott,63933,Cambodia,1947-07-01,78,F,VISA 16 digit,09/33,497.56,Entreprise,5,2057.68,2025-01-17,cut,Électronique,0,411.54,56,0,0.0,Très satisfait,False,Virement,Actif,60,60+,b5724f6a6a2af23c8b3081002a1f2628aca5686126a7a2267a1de6b36ad16c62
0d284237-716e-4bc3-8c57-aeba0f5ce1cb,Client_58,Ashley,South Martinshire,66088,Holy See (Vatican City State),1950-09-12,75,M,American Express,04/33,163.26,Entreprise,14,3385.66,2024-01-08,bit,Sport,8,241.83,30,1,129.95,Mécontent,False,Carte bancaire,Inactif,58,60+,8e4a38c195433b1558a52733781f7207dad6b309ed45dd7455b52be97387fa8a
99f222df-6333-4160-8b47-ebddf0263b1e,Client_606,Thomas,Jessicaton,56229,Turks and Caicos Islands,1947-01-30,78,M,American Express,10/29,3357.34,Entreprise,18,8607.03,2023-11-06,garden,Alimentation,1,478.17,64,0,0.0,Satisfait,True,Virement,Inactif,606,60+,d09984a4e5afcf11820c2ff7e0b2bf6604653ee42ed584c761bb455c1e7031ca
dc5ed7fa-d003-4fe0-bf86-a4a2734771b8,Client_869,Paul,West Matthewport,15385,Sweden,1998-02-20,27,M,JCB 16 digit,10/31,3541.56,Entreprise,18,7528.0,2023-05-16,military,Alimentation,8,418.22,48,2,240.63,Neutre,True,Paypal,Inactif,869,18-30,4aafa163e213403795b30cd38f8d0342122bf4f46701c44830f05155e8a6b80c
1d2914a6-bd00-483d-ba2a-dfc01390e2b2,Client_121,Karen,Espinozashire,72179,Vietnam,1951-03-19,74,M,Maestro,12/34,1957.83,Entreprise,5,472.78,2023-04-12,move,Maison,3,94.56,42,0,0.0,Très satisfait,False,Cryptomonnaie,Suspendu,121,60+,e7c17d77d80bd628353958149b45e0df976bcdcd4deef37630e0e35fa50fe3ae
2e94f90e-11eb-4269-a340-6322cc7bb1d2,Client_177,Robin,Lake Kathryn,71242,Libyan Arab Jamahiriya,1974-02-28,51,F,American Express,01/30,4480.68,Particulier,11,1628.96,2023-08-24,manager,Maison,2,148.09,37,3,105.72,Neutre,False,Carte bancaire,Inactif,177,51-60,67aa28710a391591e7250fd9cc777d3dce81febf17080296b5684aa88a1670d5
50994b1a-da3c-45ed-9ef1-63e11ce2e708,Client_312,John,West Tonya,40037,Serbia,1989-03-07,36,M,Diners Club / Carte Blanche,09/30,260.63,Particulier,6,1854.47,2024-01-11,gas,Maison,0,309.08,31,3,114.08,Satisfait,False,Virement,Inactif,312,31-40,184e2b1df91a5e940a57f7dae5d02f8e64e8c0d7e76eac6d41ed1d9443c9394c
56cc76cb-ab9d-457f-999f-6c10a06586f9,Client_339,Laura,Dominguezside,69447,Guinea-Bissau,1940-07-17,85,M,Mastercard,08/33,2996.09,Entreprise,0,0.0,2024-12-07,price,Alimentation,3,0.0,56,0,0.0,Mécontent,True,Paypal,Suspendu,339,60+,55f2cb3be3d921c6f8b454fc948195bc177c05f672f4fbb00463d713875f5ec8
5418c3dd-ebc2-484e-bcf7-d1dd4e5ff311,Client_326,Frank,Lake Andrew,58480,Bulgaria,1962-11-22,63,M,VISA 19 digit,12/26,1745.53,Entreprise,5,548.54,2024-12-22,almost,Électronique,7,109.71,55,4,651.65,Neutre,False,Carte bancaire,Suspendu,326,60+,b4d36fa855f924bbaf5827f81092aeddeb39bdd00d3b6bdc469c5f5baec573ad
f82e0f8a-ff33-467a-9535-78ebdefbe487,Client_963,Mary,New Cathyborough,77553,Taiwan,1941-11-01,84,F,JCB 16 digit,11/28,3154.43,Particulier,17,880.02,2024-01-28,pull,Maison,6,51.77,54,2,286.41,Neutre,True,Carte bancaire,Suspendu,963,60+,ce258508ef31e80f34ccf678d5b33622aaefb7bc9fcb6b29d45ee13e8728e8d7
7e619fb9-4901-49af-9c63-f6f0302ecc1a,Client_498,Timothy,Kellyborough,29086,New Caledonia,1996-11-25,29,M,VISA 16 digit,10/32,4295.25,Particulier,3,993.85,2024-06-05,while,Mode,1,331.28,86,3,57.23,Mécontent,False,Virement,Actif,498,18-30,e9a7f8f3757dcd878dd3212f8736936599b02541499032f8c51dc2a987817836
8ec2227f-3cc9-4e62-a9c2-b38561baf3c3,Client_563,Glenn,Port Sharonmouth,16439,Antigua and Barbuda,1937-09-15,88,F,VISA 16 digit,08/25,2873.63,Entreprise,20,2461.94,2025-01-14,investment,Alimentation,6,123.1,21,0,0.0,Neutre,True,Carte bancaire,Suspendu,563,60+,30bdbb1d02f9df57f3a7e783eb507b10df6641d82d4d2e4874031c853a7f0112
823daf4c-1241-4f6d-b94e-b2d388aadde8,Client_515,Jodi,Sarahville,15795,Antigua and Barbuda,1972-01-31,53,F,JCB 16 digit,05/29,2436.5,Particulier,14,2582.23,2024-07-18,off,Électronique,9,184.44,68,1,61.91,Mécontent,True,Carte bancaire,Actif,515,51-60,6299f5894632cf25520aee8f0f305905f2f890fe23672d8c80f8ed62cf569573
e13e0a16-8e44-4f54-b26c-e2751060b248,Client_886,Anthony,Lake Christopherhaven,80789,Israel,1937-09-25,88,M,Mastercard,02/26,2701.43,Entreprise,19,9055.95,2024-12-16,center,Mode,8,476.63,94,5,339.47,Satisfait,False,Carte bancaire,Actif,886,60+,c13cd01ea24c2a825ac1ce435349c41a90cdc4df6d0ebaa9679d2c9036b9dcb5
be3cfe27-76ed-4719-a1ae-ed52b6d99a25,Client_746,Carla,North Joseph,18868,Libyan Arab Jamahiriya,1943-03-10,82,F,VISA 19 digit,12/28,1049.42,Particulier,10,1749.03,2025-01-18,knowledge,Alimentation,7,174.9,64,5,353.41,Très satisfait,False,Virement,Actif,746,60+,18d67ad5c6fe3094282d554680f4414bc12db69b80bef7d035fd7d6399474ac2
c00eb067-ee27-4770-8e34-1747cfa7f0c8,Client_752,Alexander,Lake Brooke,36802,Kenya,2003-04-03,22,M,JCB 15 digit,10/30,1424.09,Particulier,8,3633.86,2024-07-16,artist,Sport,6,454.23,14,4,364.14,Mécontent,False,Virement,Suspendu,752,18-30,168188854c6442ba637b6bacd1053cde521856338828e7492f4fa4c3a264a4c0
